# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=962,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=145992,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,4,2,2055,6,0,4,4,0,17
14,14,0,10,4,2,2244,6,0,6,4,1,19
30,16,0,10,4,2,2271,6,0,4,6,2,19
46,16,0,10,2,2,2244,6,0,4,6,3,19
60,14,0,10,2,2,2028,6,0,4,6,4,17
74,14,0,10,4,2,2568,6,0,4,6,5,22
90,16,0,10,4,2,2703,6,0,4,6,6,23
106,16,0,10,4,2,2595,6,0,6,4,7,22
122,16,0,10,6,2,2865,6,0,6,4,8,24
140,18,0,10,4,2,2865,6,0,4,6,9,24
156,16,0,10,4,2,2541,6,0,6,4,10,21
172,16,0,10,4,2,2730,6,0,4,6,11,23
188,16,0,12,4,2,3297,6,0,6,6,12,27
206,18,0,10,4,2,2865,6,0,4,6,13,24
222,16,0,10,4,2,2595,6,0,6,4,14,22
238,16,0,10,4,2,2568,6,0,6,4,15,21
254,16,0,10,4,2,2892,6,0,4,6,16,24
270,16,0,10,6,2,2973,6,0,6,4,17,25
288,18,0,10,4,2,2460,6,0,4,6,18,20
304,16,0,10,4,2,2730,6,0,6,4,19,22
320,16,0,10,2,2,2163,6,0,6,4,20,18
334,14,0,10,2,2,2163,6,0,6,4,21,18
348,14,0,8,4,2,1704,6,0,6,2,22,14
362,14,0,8,4,2,1704,6,0,4,4,23,14
376,14,0,8,4,2,1839,6,0,4,4,24,15
390,14,0,8,2,2,1488,6,0,4,4,25,12
402,12,0,8,2,2,1245,6,0,6,2,26,10
414,12,0,8,2,2,1245,6,0,6,2,27,10
426,12,0,8,2,2,1353,6,0,6,2,28,11
438,12,0,8,2,2,1461,6,0,4,4,29,12
450,12,0,8,2,2,1434,6,0,4,4,30,12
462,12,0,8,2,2,1434,6,0,4,4,31,12
474,12,0,8,4,2,1893,6,0,6,2,32,16
488,14,0,8,4,2,2001,6,0,4,4,33,17
502,14,0,8,4,2,2028,6,0,4,4,34,17
516,14,0,8,4,2,2028,6,0,4,4,35,17
530,14,0,10,4,2,2568,6,0,6,4,36,22
546,16,0,10,4,2,2460,6,0,4,6,37,21
562,16,0,10,4,2,2460,6,0,6,4,38,21
578,16,0,10,4,2,2622,6,0,4,6,39,22
594,16,0,10,6,2,3000,6,0,4,6,40,25
612,18,0,10,4,2,2757,6,0,4,6,41,23
628,16,0,10,4,2,2622,6,0,6,4,42,22
644,16,0,10,6,2,2892,6,0,6,4,43,24
662,18,0,10,4,2,2838,6,0,4,6,44,23
678,16,0,10,4,2,2649,6,0,4,6,45,22
694,16,0,10,4,2,2838,6,0,4,6,46,24
710,16,0,10,4,2,2568,6,0,6,4,47,21
726,16,0,10,4,2,2649,6,0,4,6,48,22
742,16,0,10,6,2,2973,6,0,6,4,49,25
760,18,0,10,4,2,2541,6,0,6,4,50,21
776,16,0,10,4,2,2568,6,0,6,4,51,21
792,16,0,8,4,2,1920,6,0,6,2,52,16
806,14,0,10,4,2,2298,6,0,4,6,53,19
822,16,0,10,2,2,2055,6,0,6,4,54,17
836,14,0,8,4,2,1920,6,0,6,2,55,16
850,14,0,10,2,2,2055,6,0,4,6,56,17
864,14,0,8,4,2,1920,6,0,6,2,57,16
878,14,0,8,4,2,1893,6,0,6,2,58,16
892,14,0,8,4,2,1839,6,0,6,2,59,15
906,14,0,8,4,2,1920,6,0,6,2,60,16
920,14,0,8,4,2,1947,6,0,6,2,61,16
934,14,0,8,4,2,1920,6,0,6,2,62,16
948,14,0,10,2,2,2028,6,0,6,4,63,17
# complete
