# clock_hz=120,fenced=0,submitted=64,acknowledged=0,unrecorded=0,timeout=0,run_ticks=1186,startup_ticks=4,drain_ticks=2,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,0,1677,6,0,6,8,0,14
18,18,0,16,2,0,1785,6,0,6,10,1,15
36,18,0,18,4,0,1677,6,0,8,10,2,14
58,22,0,16,2,0,1785,6,0,6,10,3,15
76,18,0,16,4,0,1677,6,0,8,8,4,14
96,20,0,16,2,0,1677,6,0,6,10,5,14
114,18,0,18,2,0,1542,6,0,6,12,6,13
134,20,0,16,4,0,1542,6,0,6,10,7,13
154,20,0,14,4,0,1785,6,0,6,8,8,15
172,18,0,16,2,0,1812,6,0,6,10,9,15
190,18,2,16,2,0,1785,6,0,4,12,10,15
210,20,0,18,2,0,1677,6,0,8,10,11,14
230,20,0,14,4,0,1731,6,0,6,8,12,14
248,18,0,16,2,0,1461,6,0,6,10,13,12
266,18,0,14,4,0,1434,6,0,6,8,14,12
284,18,0,14,4,0,1326,6,0,6,8,15,11
302,18,0,14,2,0,1596,6,0,6,8,16,13
318,16,0,16,2,0,1677,6,0,6,10,17,14
336,18,0,18,2,0,1461,6,0,6,12,18,12
356,20,0,14,4,0,1623,6,0,6,8,19,13
374,18,0,14,2,0,1353,6,0,6,8,20,11
390,16,0,14,4,0,1353,6,0,8,6,21,11
408,18,0,16,2,0,1218,6,0,6,10,22,10
426,18,0,16,2,0,1110,6,0,6,10,23,9
444,18,0,16,2,0,1353,6,0,6,10,24,11
462,18,0,16,2,0,1353,6,0,6,10,25,11
480,18,0,18,2,0,1245,6,0,6,12,26,10
500,20,0,16,2,0,1353,6,0,6,10,27,11
518,18,0,16,2,0,1353,6,0,6,10,28,11
536,18,0,16,2,0,1461,6,0,6,10,29,12
554,18,0,16,4,0,1326,6,0,6,10,30,11
574,20,0,16,2,0,1434,6,0,6,10,31,12
592,18,0,16,2,0,1785,6,0,6,10,32,15
610,18,0,16,4,0,1785,6,0,6,10,33,15
630,20,0,18,2,0,1785,6,0,6,12,34,15
650,20,0,16,4,0,1677,6,0,6,10,35,14
670,20,0,14,4,0,1677,6,0,6,8,36,14
688,18,0,16,2,0,1677,6,0,6,10,37,14
706,18,2,16,2,0,1434,6,0,4,12,38,12
726,20,0,16,4,0,1542,6,0,6,10,39,13
746,20,0,14,4,0,1677,6,0,6,8,40,14
764,18,0,14,4,0,1812,6,0,6,8,41,15
782,18,0,16,2,0,1677,6,0,6,10,42,14
800,18,0,18,2,0,1569,6,0,8,10,43,13
820,20,0,14,2,0,1731,6,0,6,8,44,14
836,16,2,14,4,0,1461,6,0,6,8,45,12
856,20,0,14,2,0,1434,6,0,6,8,46,12
872,16,0,16,2,0,1461,6,0,6,10,47,12
890,18,2,14,2,0,1596,6,0,6,8,48,13
908,18,0,16,2,0,1677,6,0,6,10,49,14
926,18,0,18,2,0,1569,6,0,6,12,50,13
946,20,0,14,4,0,1731,6,0,6,8,51,14
964,18,0,16,2,0,1461,6,0,6,10,52,12
982,18,0,14,4,0,1569,6,0,6,8,53,13
1000,18,0,16,2,0,1326,6,0,6,10,54,11
1018,18,0,16,2,0,1326,6,0,8,8,55,11
1036,18,0,16,4,0,1569,6,0,8,8,56,13
1056,20,0,16,2,0,1569,6,0,6,10,57,13
1074,18,0,16,4,0,1461,6,0,6,10,58,12
1094,20,0,16,2,0,1461,6,0,6,10,59,12
1112,18,0,16,2,0,1461,6,0,6,10,60,12
1130,18,0,16,2,0,1461,6,0,6,10,61,12
1148,18,0,18,2,0,1434,6,0,6,12,62,12
1168,20,0,16,2,0,1434,6,0,6,10,63,12
# complete
