# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1252,startup_ticks=2,drain_ticks=0,workload=1,no_sky=1,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,2,1677,6,0,6,8,0,14
20,20,0,16,2,2,1785,6,0,6,10,1,15
40,20,0,16,4,2,1677,6,0,6,10,2,14
62,22,0,16,2,2,1785,6,0,6,10,3,15
82,20,0,14,4,2,1677,6,0,6,8,4,14
102,20,0,16,2,2,1677,6,0,6,10,5,14
122,20,0,16,2,2,1542,6,0,6,10,6,13
142,20,0,16,2,2,1542,6,0,6,10,7,13
162,20,0,14,4,2,1785,6,0,6,8,8,15
182,20,0,14,4,2,1812,6,0,6,8,9,15
202,20,0,16,4,2,1785,6,0,6,10,10,15
224,22,0,14,4,2,1677,6,0,6,8,11,14
244,20,0,14,2,2,1731,6,0,6,8,12,14
262,18,0,14,4,2,1461,6,0,6,8,13,12
282,20,0,14,2,2,1434,6,0,6,8,14,12
300,18,0,14,4,2,1326,6,0,6,8,15,11
320,20,0,12,4,2,1596,6,0,6,6,16,13
338,18,0,14,4,2,1677,6,0,6,8,17,14
358,20,0,16,2,2,1461,6,0,6,10,18,12
378,20,0,14,2,2,1623,6,0,6,8,19,13
396,18,0,14,2,2,1353,6,0,6,8,20,11
414,18,0,14,2,2,1353,6,0,6,8,21,11
432,18,0,16,2,2,1218,6,0,6,10,22,10
452,20,0,14,2,2,1110,6,0,6,8,23,9
470,18,0,14,2,2,1353,6,0,6,8,24,11
488,18,0,16,0,2,1353,6,0,6,10,25,11
506,18,0,16,2,2,1245,6,0,6,10,26,10
526,20,0,14,4,2,1353,6,0,6,8,27,11
546,20,0,14,2,2,1353,6,0,4,10,28,11
564,18,0,14,4,2,1461,6,0,6,8,29,12
584,20,0,16,2,2,1326,6,0,6,10,30,11
604,20,0,16,2,2,1434,6,0,6,10,31,12
624,20,0,16,2,2,1785,6,0,6,10,32,15
644,20,0,16,2,2,1785,6,0,6,10,33,15
664,20,0,16,4,2,1785,6,0,4,12,34,15
686,22,0,14,4,2,1677,6,0,4,10,35,14
706,20,0,14,4,2,1677,6,0,6,8,36,14
726,20,0,14,4,2,1677,6,0,6,8,37,14
746,20,0,16,2,2,1434,6,0,6,10,38,12
766,20,0,14,4,2,1542,6,0,6,8,39,13
786,20,0,14,4,2,1677,6,0,6,8,40,14
806,20,0,14,2,2,1812,6,0,6,8,41,15
824,18,0,16,2,2,1677,6,0,6,10,42,14
844,20,0,14,4,2,1569,6,0,6,8,43,13
864,20,0,14,2,2,1731,6,0,6,8,44,14
882,18,0,14,4,2,1461,6,0,6,8,45,12
902,20,0,14,2,2,1434,6,0,6,8,46,12
920,18,0,14,4,2,1461,6,0,6,8,47,12
940,20,0,12,4,2,1596,6,0,6,6,48,13
958,18,0,14,4,2,1677,6,0,6,8,49,14
978,20,0,16,2,2,1569,6,0,6,10,50,13
998,20,0,14,2,2,1731,6,0,6,8,51,14
1016,18,0,14,2,2,1461,6,0,6,8,52,12
1034,18,0,14,2,2,1569,6,0,6,8,53,13
1052,18,0,16,2,2,1326,6,0,6,10,54,11
1072,20,0,14,4,2,1326,6,0,6,8,55,11
1092,20,0,14,4,2,1569,6,0,6,8,56,13
1112,20,0,14,4,2,1569,6,0,6,8,57,13
1132,20,0,16,2,2,1461,6,0,6,10,58,12
1152,20,0,14,4,2,1461,6,0,6,8,59,12
1172,20,0,14,4,2,1461,6,0,6,8,60,12
1192,20,0,14,4,2,1461,6,0,6,8,61,12
1212,20,0,16,2,2,1434,6,0,6,10,62,12
1232,20,0,16,2,2,1434,6,0,6,10,63,12
# complete
